number,idx,author_short,year,journal_short,doi,Hyperlink,openalex_id,authors,title,institutions,abstract,match_type,techmax,methmax,contmax,tech|00,tech|01,tech|02,tech|03,tech|04,tech|05,tech|06,tech|07,tech|08,tech|09,tech|10,tech|11,tech|12,tech|13,tech|14,tech|15,tech|16,meth|00,meth|01,meth|02,meth|03,meth|04,meth|05,meth|06,meth|07,meth|08,meth|09,cont|0,cont|1,cont|2,cont|3,cont|4,cont|5,peer-reviewed,openalex_landing_page,toxic,hazard,harm,nickel,chromium,dunite,olivine,ultramafic,serpentine,mafic,basalt,wollastonite,Ni,Cr,keyword_analyzed,cdrlit_meth
11,46608.0,Hartmann et al.,2013,RoG,10.1002/rog.20004,https://doi.org/10.1002/rog.20004,W2146034720,Jens Hartmann; A. Joshua West; Phil Renforth; Peter Köhler; Christina L. De La Rocha; Dieter Wolf-Gladrow; Hans H. Dürr; Jürgen Scheffran,"Enhanced chemical weathering as a geoengineering strategy to reduce atmospheric carbon dioxide, supply nutrients, and mitigate ocean acidification","Institute for Biogeochemistry and Marine Chemistry, KlimaCampus; Universität Hamburg; Hamburg Germany; Department of Earth Sciences, University of Southern California, Los Angeles, California, USA; Department of Earth Sciences, University of Oxford, Oxford, UK; Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research (AWI), Bremerhaven, Germany; UMR CNRS 6539, Institut Universitaire Européen de la Mer Université de Bretagne Occidentale, Technôpole Brest‐Iroise  Place Nicholas Copernic Plouzané France; Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research (AWI), Bremerhaven, Germany; Ecohydrology Research Group, Department of Earth and Environmental Sciences, University of Waterloo, Waterloo, Ontario, Canada; Institute of Geography, KlimaCampus; Universität Hamburg; Hamburg Germany","Chemical weathering is an integral part of both the rock and carbon cycles and is being affected by changes in land use, particularly as a result of agricultural practices such as tilling, mineral fertilization, or liming to adjust soil pH. These human activities have already altered the terrestrial chemical cycles and land‐ocean flux of major elements, although the extent remains difficult to quantify. When deployed on a grand scale, Enhanced Weathering (a form of mineral fertilization), the application of finely ground minerals over the land surface, could be used to remove CO 2 from the atmosphere. The release of cations during the dissolution of such silicate minerals would convert dissolved CO 2 to bicarbonate, increasing the alkalinity and pH of natural waters. Some products of mineral dissolution would precipitate in soils or be taken up by ecosystems, but a significant portion would be transported to the coastal zone and the open ocean, where the increase in alkalinity would partially counteract “ocean acidification” associated with the current marked increase in atmospheric CO 2 . Other elements released during this mineral dissolution, like Si, P, or K, could stimulate biological productivity, further helping to remove CO 2 from the atmosphere. On land, the terrestrial carbon pool would likely increase in response to Enhanced Weathering in areas where ecosystem growth rates are currently limited by one of the nutrients that would be released during mineral dissolution. In the ocean, the biological carbon pumps (which export organic matter and CaCO 3 to the deep ocean) may be altered by the resulting influx of nutrients and alkalinity to the ocean. This review merges current interdisciplinary knowledge about Enhanced Weathering, the processes involved, and the applicability as well as some of the consequences and risks of applying the method.",doi,tech|10,meth|05,cont|5,0.01,0.01,0.01,0.01,0.06,0.02,0.02,0.01,0.01,0.02,0.68,0.08,0.02,0.02,0.16,0.04,0.01,0.01,0.02,0.02,0.01,0.01,0.96,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,1.0,yes,https://doi.org/10.1002/rog.20004,4,5,7,2,1,5,110,0,2,0,11,0,4,3,1,1
12,6318.0,Manning & Renforth,2013,ES&T,10.1021/es301250j,https://doi.org/10.1021/es301250j,W1965467586,David Manning; Phil Renforth,Passive Sequestration of Atmospheric CO<sub>2</sub> through Coupled Plant-Mineral Reactions in Urban soils,"School of Civil Engineering & Geosciences, Newcastle University, Newcastle upon Tyne, U.K., NE1 7RU; University of Oxford","Photosynthetic removal of CO2 from the atmosphere is an important planetary carbon dioxide removal mechanism. Naturally, an amount equivalent to all atmospheric carbon passes through the coupled plant–soil system within 7 years. Plants cycle up to 40% of photosynthesized carbon through their roots, providing a flux of C at depth into the soil system. Root-exuded carboxylic acids have the potential to supply 4–5 micromoles C hr–1g–1 fresh weight to the soil solution, and enhance silicate mineral weathering. Ultimately, the final product of these root-driven processes is CO2, present in solution as bicarbonate. This combines with Ca liberated by corrosion associated with silicate mineral weathering to enter the soil–water system and to produce pedogenic calcium carbonate precipitates. Combining understanding of photosynthesis and plant root physiology with knowledge of mineral weathering provides an opportunity to design artificial soils or to plan land use in ways that maximize removal and sequestration of atmospheric CO2 through artificially enhanced pedogenic carbonate precipitation. This process requires relatively low energy and infrastructure inputs. It offers a sustainable carbon dioxide removal mechanism analogous to the use of constructed wetlands for the passive remediation of contaminated waters, and is likely to achieve wide public acceptance.",doi,tech|10,meth|05,cont|5,0.02,0.01,0.01,0.02,0.61,0.03,0.04,0.01,0.02,0.03,0.86,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.04,0.01,0.05,0.01,0.67,0.01,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,1.0,yes,https://doi.org/10.1021/es301250j,0,0,0,0,0,0,1,0,0,0,4,5,0,0,1,1
13,,Manning et al.,2013,IJGGC,10.1016/j.ijggc.2013.05.012,https://doi.org/10.1016/j.ijggc.2013.05.012,,,Carbonate precipitation in artificial soils produced from basaltic quarry fines and composts: An opportunity for passive carbon sequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,0,0,0,0,0,0,1,0,0,0,5,0,1,1,1,0
14,5894.0,Moosdorf et al.,2014,ES&T,10.1021/es4052022,https://doi.org/10.1021/es4052022,W2018921467,Nils Moosdorf; Phil Renforth; Jens Hartmann,Carbon Dioxide Efficiency of Terrestrial Enhanced Weathering,"Institutefor Geology, Center for Earth System Researchand Sustainability (CEN), University of Hamburg, Bundesstraße55, 20146 Hamburg, Germany; University of Oxford; Institutefor Geology, Center for Earth System Researchand Sustainability (CEN), University of Hamburg, Bundesstraße55, 20146 Hamburg, Germany","Terrestrial enhanced weathering, the spreading of ultramafic silicate rock flour to enhance natural weathering rates, has been suggested as part of a strategy to reduce global atmospheric CO2 levels. We budget potential CO2 sequestration against associated CO2 emissions to assess the net CO2 removal of terrestrial enhanced weathering. We combine global spatial data sets of potential source rocks, transport networks, and application areas with associated CO2 emissions in optimistic and pessimistic scenarios. The results show that the choice of source rocks and material comminution technique dominate the CO2 efficiency of enhanced weathering. CO2 emissions from transport amount to on average 0.5–3% of potentially sequestered CO2. The emissions of material mining and application are negligible. After accounting for all emissions, 0.5–1.0 t CO2 can be sequestered on average per tonne of rock, translating into a unit cost from 1.6 to 9.9 GJ per tonne CO2 sequestered by enhanced weathering. However, to control or reduce atmospheric CO2 concentrations substantially with enhanced weathering would require very large amounts of rock. Before enhanced weathering could be applied on large scales, more research is needed to assess weathering rates, potential side effects, social acceptability, and mechanisms of governance.",doi,tech|10,meth|02,cont|5,0.04,0.01,0.01,0.02,0.05,0.01,0.03,0.01,0.01,0.02,0.86,0.04,0.02,0.01,0.03,0.03,0.01,0.03,0.01,0.8,0.42,0.02,0.04,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.03,0.98,yes,https://doi.org/10.1021/es4052022,0,0,0,0,0,0,6,1,0,0,2,0,0,0,1,1
15,,Song et al.,2014,ESR,10.1016/j.earscirev.2014.09.009,https://doi.org/10.1016/j.earscirev.2014.09.009,,,Biogeochemical silicon cycle and carbon sequestration in agricultural ecosystems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1,0,0,0,0,0,4,0,0,0,4,0,1,0,1,0
16,46414.0,Critelli et al.,2015,AG,10.1016/j.apgeochem.2015.06.004,https://doi.org/10.1016/j.apgeochem.2015.06.004,W577799730,Teresa Critelli; Luigi Marini; Jacques Schott; Vasileios Mavromatis; Carmine Apollaro; Thomas Rinder; R. De Rosa; Eric H. Oelkers,Dissolution rate of antigorite from a whole-rock experimental study of serpentinite dissolution from 2&lt;pH&lt;9 at 25°C: Implications for carbon mitigation via enhanced serpentinite weathering,"DiBEST, University of Calabria, I-87036 Arcavacata di Rende (CS), Italy; Consultant in Applied Geochemistry, I-55049 Viareggio (LU), Italy; GET, Université de Toulouse-CNRS/UMR 5563, Toulouse, France; GET, Université de Toulouse-CNRS/UMR 5563, Toulouse, France; Institute of Applied Geosciences, Graz University of Technology, Rechbauerstrasse 12, 8010 Graz, Austria; DiBEST, University of Calabria, I-87036 Arcavacata di Rende (CS), Italy; GET, Université de Toulouse-CNRS/UMR 5563, Toulouse, France; DiBEST, University of Calabria, I-87036 Arcavacata di Rende (CS), Italy; Earth Science, University College London, Gower Street, London WC1E 6BT, United Kingdom; GET, Université de Toulouse-CNRS/UMR 5563, Toulouse, France","Serpentinite rock dissolution experiments at 25 °C and 2 < pH < 9 were used to retrieve antigorite dissolution rates, as its high abundance and comparatively fast dissolution dominate element release from the rock. Retrieved antigorite dissolution rates at pH 2.02 and 3.06 are similar to previous literature data for serpentine minerals at corresponding pH. In contrast, retrieved rates at higher pH are considerably lower than corresponding literature data. Nonetheless, the retrieved rates at pH 5.76 and 7.28 are consistent with the linear log rate – pH relationship of Orlando et al. (2011), suggesting that rates follow a single ‘acidic’ mechanism to a pH of at least 7.3. The relatively low dissolution rates of serpentine minerals found in this study suggests that significantly more time is required for serpentine weathering than that estimated using the dissolution rates of these solids reported by Marini (2006) based on a review of literature data. As such, using enhanced serpentine weathering as a carbon capture/storage strategy may be less efficient than previously assumed.",doi,tech|10,meth|01,cont|5,0.05,0.01,0.01,0.03,0.03,0.01,0.02,0.01,0.01,0.02,0.84,0.04,0.02,0.01,0.02,0.03,0.01,0.01,0.96,0.01,0.09,0.0,0.03,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,yes,https://doi.org/10.1016/j.apgeochem.2015.06.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,46652.0,Renforth et al.,2015,AG,10.1016/j.apgeochem.2015.05.016,https://doi.org/10.1016/j.apgeochem.2015.05.016,W1672288496,Philip Renforth; Philip A.E. Pogge von Strandmann; Gideon M. Henderson,The dissolution of olivine added to soil: Implications for enhanced weathering,"Department of Earth Sciences, University of Oxford, South Parks Road, Oxford OX1 3AN, UK; School of Earth and Ocean Sciences, Cardiff University, Cardiff CF10 3AT, UK; Department of Earth Sciences, University of Oxford, South Parks Road, Oxford OX1 3AN, UK; Institute of Earth and Planetary Sciences, University College London and Birkbeck, University of London, Gower Street, London WC1E 6BT, UK; Department of Earth Sciences, University of Oxford, South Parks Road, Oxford OX1 3AN, UK","Chemical weathering of silicate minerals consumes atmospheric CO2 and is a fundamental component of geochemical cycles and of the climate system on long timescales. Artificial acceleration of such weathering (“enhanced weathering”) has recently been proposed as a method of mitigating anthropogenic climate change, by adding fine-grained silicate materials to continental surfaces. The efficacy of such intervention in the carbon cycle strongly depends on the mineral dissolution rates that occur, but these rates remain uncertain. Dissolution rates determined from catchment scale investigations are generally several orders of magnitude slower than those predicted from kinetic information derived from laboratory studies. Here we present results from laboratory flow-through dissolution experiments which seek to bridge this observational discrepancy by using columns of soil returned to the laboratory from a field site. We constrain the dissolution rate of olivine added to the top of one of these columns, while maintaining much of the complexity inherent in the soil environment. Continual addition of water to the top of the soil columns, and analysis of elemental composition of waters exiting at the base was conducted for a period of five months, and the solid and leachable composition of the soils was also assessed before and after the experiments. Chemical results indicate clear release of Mg2+ from the dissolution of olivine and, by comparison with a control case, allow the rate of olivine dissolution to be estimated between 10−16.4 and 10−15.5 moles(Mg) cm−2 s−1. Measurements also allow secondary mineral formation in the soil to be assessed, and suggest that no significant secondary uptake of Mg2+ has occurred. The olivine dissolution rates are intermediate between those of pure laboratory and field studies and provide a useful constraint on weathering processes in natural environments, such as during soil profile deepening or the addition of mineral dust or volcanic ash to soils surfaces. The dissolution rates also provide critical information for the assessment of enhanced weathering including the expected surface-area and energy requirements.",doi,tech|10,meth|01,cont|5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,yes,https://doi.org/10.1016/j.apgeochem.2015.05.016,1,0,0,1,0,0,76,0,0,0,0,3,5,11,1,1
18,46619.0,Washbourne et al.,2015,ES&T,10.1021/es505476d,https://doi.org/10.1021/es505476d,W2069685370,Carla-Leanne Washbourne; Elisa López-Capél; Philip Renforth; Philippa Ascough; David Manning,Rapid Removal of Atmospheric CO<sub>2</sub> by Urban Soils,"§School of Civil Engineering and Geosciences, Newcastle University, Newcastle upon Tyne NE1 7RU, U.K.; §School of Civil Engineering and Geosciences, Newcastle University, Newcastle upon Tyne NE1 7RU, U.K.; Cardiff University; §Scottish Universities Environmental Research Centre, Rankine Avenue, Scottish Enterprise Technology Park, East Kilbride G75 0QF, U.K.; §School of Civil Engineering and Geosciences, Newcastle University, Newcastle upon Tyne NE1 7RU, U.K.","The measured calcium carbonate content of soils to a depth of 100 mm at a large urban development site has increased over 18 months at a rate that corresponds to the sequestration of 85 t of CO2/ha (8.5 kg of CO2 m(-2)) annually. This is a consequence of rapid weathering of calcium silicate and hydroxide minerals derived from the demolition of concrete structures, which releases Ca that combines with CO2 ultimately derived from the atmosphere, precipitating as calcite. Stable isotope data confirm an atmospheric origin for carbonate carbon, and 14C dating indicates the predominance of modern carbon in the pedogenic calcite. Trial pits show that carbonation extends to depths of ≥1 m. Work at other sites shows that the occurrence of pedogenic carbonates is widespread in artificially created urban soils containing Ca and Mg silicate minerals. Appropriate management of fewer than 12000 ha of urban land to maximize calcite precipitation has the potential to remove 1 million t of CO2 from the atmosphere annually. The maximal global potential is estimated to be approximately 700-1200 Mt of CO2 per year (representing 2.0-3.7% of total emissions from fossil fuel combustion) based on current rates of production of industry-derived Ca- and Mg-bearing materials.",doi,tech|10,meth|00,cont|5,0.02,0.01,0.02,0.02,0.31,0.02,0.03,0.01,0.02,0.03,0.89,0.02,0.01,0.01,0.01,0.03,0.01,0.97,0.02,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,1.0,yes,https://doi.org/10.1021/es505476d,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
19,,Fiantis et al.,2016,SCCPA,10.1080/00103624.2016.1208755,https://doi.org/10.1080/00103624.2016.1208755,,,Initial Carbon Storage in New Tephra Layers of Mt. Talang in Sumatra as Affected by Pioneer Plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
20,,Hamilton et al.,2016,IJGGC,10.1016/j.ijggc.2016.11.006,https://doi.org/10.1016/j.ijggc.2016.11.006,,,Nesquehonite sequesters transition metals and CO2 during accelerated carbon mineralisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,8,4,0,0,8,0,0,0,4,0,0,0,29,34,1,0
21,,Taylor et al.,2016,NCC,10.1038/nclimate2882,https://doi.org/10.1038/nclimate2882,,,Enhanced weathering strategies for stabilizing climate and averting ocean acidification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,1,0,0,0,0,8,7,0,1,0,30,0,0,0,1,0
22,46575.0,Beerling et al.,2017,BL,10.1098/rsbl.2017.0149,https://doi.org/10.1098/rsbl.2017.0149,W2605019976,David J. Beerling,Enhanced rock weathering: biological climate change mitigation with co-benefits for food security?,,"Under the Paris Agreement of the UN's 21st Conference of the Parties, over 100 nations signed up to the goal of keeping future warming within 2°C of pre-industrial levels, and ideally below 1.5°C. Yet anthropogenic CO2 emissions, mainly from combustion of fossil fuels, are now the highest they",doi,tech|10,meth|05,cont|4,0.03,0.01,0.02,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.74,0.07,0.02,0.01,0.06,0.12,0.01,0.01,0.03,0.02,0.03,0.01,0.76,0.0,0.0,0.02,0.03,0.02,0.02,0.31,0.02,0.4,0.14,yes,https://doi.org/10.1098/rsbl.2017.0149,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
